,VIN,Address,Date,Lat,Long,t2,VIN1,Address1,Date1,Lat1,Long1,t21
91,BNYB088,Green P-15 Wellesley St. e(No Double Parking),2017-10-17 17:28:00,43.66484,-79.38359,2017-10-17 18:03:00,BNYB088,"251-253 St Clarens Ave, Toronto, ON M6H 3W2",2017-10-17 19:14:00,43.65351,-79.43959,2017-10-17 23:57:00
94,BNYB092,Green P-15 Wellesley St. e(No Double Parking),2017-10-17 00:00:00,43.66484,-79.38359,2017-10-17 14:22:00,BNYB092,"65 Hahn Pl, Toronto, ON M5A 4J5",2017-10-17 15:02:00,43.65008,-79.36329,2017-10-17 16:22:00
95,BNYB092,"65 Hahn Pl, Toronto, ON M5A 4J5",2017-10-17 15:02:00,43.65008,-79.36329,2017-10-17 16:22:00,BNYB092,Targetpark-Loblaws Queens Quay E(enter off Jarvis),2017-10-17 16:48:00,43.64456,-79.36971,2017-10-17 16:58:00
96,BNYB092,Targetpark-Loblaws Queens Quay E(enter off Jarvis),2017-10-17 16:48:00,43.64456,-79.36971,2017-10-17 16:58:00,BNYB092,"3 Berkeley St, Toronto, ON M5A 4J5",2017-10-17 17:13:00,43.65026,-79.3631,2017-10-17 17:18:00
97,BNYB092,"3 Berkeley St, Toronto, ON M5A 4J5",2017-10-17 17:13:00,43.65026,-79.3631,2017-10-17 17:18:00,BNYB092,"156-158 Victor Ave, Toronto, ON M4K 1B1",2017-10-17 17:38:00,43.66835,-79.34691,2017-10-17 20:20:00
99,BNYB096,Green P-35 Erindale Ave(no double parking),2017-10-17 00:00:00,43.67732,-79.35747,2017-10-17 07:45:00,BNYB096,"61 Queensdale Ave, East York, ON M4J 1Y2",2017-10-17 08:00:00,43.68673,-79.33152,2017-10-17 15:47:00
100,BNYB096,"61 Queensdale Ave, East York, ON M4J 1Y2",2017-10-17 08:00:00,43.68673,-79.33152,2017-10-17 15:47:00,BNYB096,"1 Hogarth Ave, Toronto, ON M4K 1J8",2017-10-17 16:17:00,43.67343,-79.35574,2017-10-17 18:18:00
101,BNYB096,"1 Hogarth Ave, Toronto, ON M4K 1J8",2017-10-17 16:17:00,43.67343,-79.35574,2017-10-17 18:18:00,BNYB096,"12-16 Holborne Ave, East York, ON M4C 2P9",2017-10-17 18:43:00,43.69326,-79.32511,2017-10-17 20:20:00
102,BNYB096,"12-16 Holborne Ave, East York, ON M4C 2P9",2017-10-17 18:43:00,43.69326,-79.32511,2017-10-17 20:20:00,BNYB096,"9 Cambrai Ave, East York, ON M4C 2P7",2017-10-17 22:16:00,43.69596,-79.30819,2017-10-17 23:57:00
104,BNYB104,"2041-2053 Danforth Ave, Toronto, ON M4C 1J8",2017-10-17 00:00:00,43.68545,-79.31365,2017-10-17 06:54:00,BNYB104,Green P-35 Erindale Ave(no double parking),2017-10-17 07:50:00,43.67732,-79.35747,2017-10-17 08:50:00
