FID,OID_,FID_,Lat,Long,Lat1,Long1,Shape_Leng,FID_1,VIN,Address,Date,DateD,DateH,Lat_1,Long_1,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1_1,Long1_1,t21,t21D,t21H
971,0,972,43.646439999999998,-79.396670000000000,43.654449999999997,-79.413589999999999,2250.844988140000200,972,BNYB167,"23 Brant St, Toronto, ON M5V 2L5",10/17/2017 16:33,17,16,43.646439999999998,-79.396670000000000,10/17/2017 16:38,17,16,BNYB167,"Simonetta Lane, Toronto, ON M6J 2P1",10/17/2017 17:03,17,17,43.654449999999997,-79.413589999999999,10/17/2017 23:57,17,23
972,0,973,43.643920000000001,-79.420339999999996,43.644500000000001,-79.420240000000007,89.914780322900000,973,BNYB169,"1040 Queen St W, Toronto, ON M6J 1H7",10/17/2017 0:00,17,0,43.643920000000001,-79.420339999999996,10/17/2017 7:04,17,7,BNYB169,"14 Brookfield St, Toronto, ON M6J 3A9",10/17/2017 7:14,17,7,43.644500000000001,-79.420240000000007,10/17/2017 8:45,17,8
973,0,974,43.644500000000001,-79.420240000000007,43.639650000000003,-79.442809999999994,2620.910081089999900,974,BNYB169,"14 Brookfield St, Toronto, ON M6J 3A9",10/17/2017 7:14,17,7,43.644500000000001,-79.420240000000007,10/17/2017 8:45,17,8,BNYB169,"1624 Queen St W, Toronto, ON M6R 1B2",10/17/2017 9:30,17,9,43.639650000000003,-79.442809999999994,10/17/2017 12:11,17,12
974,0,975,43.639650000000003,-79.442809999999994,43.644170000000003,-79.408320000000003,3901.858820720000000,975,BNYB169,"1624 Queen St W, Toronto, ON M6R 1B2",10/17/2017 9:30,17,9,43.639650000000003,-79.442809999999994,10/17/2017 12:11,17,12,BNYB169,"758 Adelaide St W, Toronto, ON M6J 1B1",10/17/2017 12:31,17,12,43.644170000000003,-79.408320000000003,10/17/2017 17:13,17,17
975,0,976,43.644170000000003,-79.408320000000003,43.640360000000001,-79.426509999999993,2108.013442049999900,976,BNYB169,"758 Adelaide St W, Toronto, ON M6J 1B1",10/17/2017 12:31,17,12,43.644170000000003,-79.408320000000003,10/17/2017 17:13,17,17,BNYB169,"18 Laidlaw St, Toronto, ON M6K 1X2",10/17/2017 17:53,17,17,43.640360000000001,-79.426509999999993,10/17/2017 17:53,17,17
976,0,977,43.640360000000001,-79.426509999999993,43.648409999999998,-79.402130000000000,2983.145714729999800,977,BNYB169,"18 Laidlaw St, Toronto, ON M6K 1X2",10/17/2017 17:53,17,17,43.640360000000001,-79.426509999999993,10/17/2017 17:53,17,17,BNYB169,"43 Wolseley St, Toronto, ON M5T 1A3",10/17/2017 18:08,17,18,43.648409999999998,-79.402130000000000,10/17/2017 19:04,17,19
977,0,978,43.648409999999998,-79.402130000000000,43.644460000000002,-79.398129999999995,753.342966742000040,978,BNYB169,"43 Wolseley St, Toronto, ON M5T 1A3",10/17/2017 18:08,17,18,43.648409999999998,-79.402130000000000,10/17/2017 19:04,17,19,BNYB169,Targetpark-539 King St W (1 Spot),10/17/2017 20:40,17,20,43.644460000000002,-79.398129999999995,10/17/2017 20:40,17,20
978,0,979,43.644460000000002,-79.398129999999995,43.680680000000002,-79.425210000000007,6336.530137470000200,979,BNYB169,Targetpark-539 King St W (1 Spot),10/17/2017 20:40,17,20,43.644460000000002,-79.398129999999995,10/17/2017 20:40,17,20,BNYB169,"629 Christie St, Toronto, ON M6G 3E6",10/17/2017 21:06,17,21,43.680680000000002,-79.425210000000007,10/17/2017 23:57,17,23
979,0,980,43.662750000000003,-79.342179999999999,43.649099999999997,-79.456159999999997,12860.843171300001000,980,BNYB171,"39 Natalie Pl, Toronto, ON M4M 3P6",10/17/2017 0:00,17,0,43.662750000000003,-79.342179999999999,10/17/2017 5:23,17,5,BNYB171,"14-16 High Park Gardens, Toronto, ON M6R 1S9",10/17/2017 5:43,17,5,43.649099999999997,-79.456159999999997,10/17/2017 13:06,17,13
980,0,981,43.649099999999997,-79.456159999999997,43.655909999999999,-79.463040000000007,1297.821625869999900,981,BNYB171,"14-16 High Park Gardens, Toronto, ON M6R 1S9",10/17/2017 5:43,17,5,43.649099999999997,-79.456159999999997,10/17/2017 13:06,17,13,BNYB171,"66 Oakmount Rd, Toronto, ON M6P 2M4",10/17/2017 13:26,17,13,43.655909999999999,-79.463040000000007,10/17/2017 14:02,17,14
