FID,VIN,Address,Date,DateD,DateH,Lat,Long,t2,t2D,t2H,VIN1,Address1,Date1,Date1D,Date1H,Lat1,Long1,t21,t21D,t21H
892,BNYB088,"478 Montrose Ave, Toronto, ON M6G 3H1",10/17/2017 0:00,17,0,43.66234,-79.4207,10/17/2017 14:37,17,14,BNYB088,"160 Frederick St, Toronto, ON M5A 1E2",10/17/2017 17:03,17,17,43.65031,-79.36905,10/17/2017 17:03,17,17
893,BNYB088,"160 Frederick St, Toronto, ON M5A 1E2",10/17/2017 17:03,17,17,43.65031,-79.36905,10/17/2017 17:03,17,17,BNYB088,Green P-15 Wellesley St. e(No Double Parking),10/17/2017 17:28,17,17,43.66484,-79.38359,10/17/2017 18:03,17,18
894,BNYB088,Green P-15 Wellesley St. e(No Double Parking),10/17/2017 17:28,17,17,43.66484,-79.38359,10/17/2017 18:03,17,18,BNYB088,"251-253 St Clarens Ave, Toronto, ON M6H 3W2",10/17/2017 19:14,17,19,43.65351,-79.43959,10/17/2017 23:57,17,23
895,BNYB092,Green P-15 Wellesley St. e(No Double Parking),10/17/2017 0:00,17,0,43.66484,-79.38359,10/17/2017 14:22,17,14,BNYB092,"65 Hahn Pl, Toronto, ON M5A 4J5",10/17/2017 15:02,17,15,43.65008,-79.36329,10/17/2017 16:22,17,16
896,BNYB092,"65 Hahn Pl, Toronto, ON M5A 4J5",10/17/2017 15:02,17,15,43.65008,-79.36329,10/17/2017 16:22,17,16,BNYB092,Targetpark-Loblaws Queens Quay E(enter off Jarvis),10/17/2017 16:48,17,16,43.64456,-79.36971,10/17/2017 16:58,17,16
897,BNYB092,Targetpark-Loblaws Queens Quay E(enter off Jarvis),10/17/2017 16:48,17,16,43.64456,-79.36971,10/17/2017 16:58,17,16,BNYB092,"3 Berkeley St, Toronto, ON M5A 4J5",10/17/2017 17:13,17,17,43.65026,-79.3631,10/17/2017 17:18,17,17
898,BNYB092,"3 Berkeley St, Toronto, ON M5A 4J5",10/17/2017 17:13,17,17,43.65026,-79.3631,10/17/2017 17:18,17,17,BNYB092,"156-158 Victor Ave, Toronto, ON M4K 1B1",10/17/2017 17:38,17,17,43.66835,-79.34691,10/17/2017 20:20,17,20
899,BNYB096,Green P-35 Erindale Ave(no double parking),10/17/2017 0:00,17,0,43.67732,-79.35747,10/17/2017 7:45,17,7,BNYB096,"61 Queensdale Ave, East York, ON M4J 1Y2",10/17/2017 8:00,17,8,43.68673,-79.33152,10/17/2017 15:47,17,15
900,BNYB096,"61 Queensdale Ave, East York, ON M4J 1Y2",10/17/2017 8:00,17,8,43.68673,-79.33152,10/17/2017 15:47,17,15,BNYB096,"1 Hogarth Ave, Toronto, ON M4K 1J8",10/17/2017 16:17,17,16,43.67343,-79.35574,10/17/2017 18:18,17,18
901,BNYB096,"1 Hogarth Ave, Toronto, ON M4K 1J8",10/17/2017 16:17,17,16,43.67343,-79.35574,10/17/2017 18:18,17,18,BNYB096,"12-16 Holborne Ave, East York, ON M4C 2P9",10/17/2017 18:43,17,18,43.69326,-79.32511,10/17/2017 20:20,17,20
902,BNYB096,"12-16 Holborne Ave, East York, ON M4C 2P9",10/17/2017 18:43,17,18,43.69326,-79.32511,10/17/2017 20:20,17,20,BNYB096,"9 Cambrai Ave, East York, ON M4C 2P7",10/17/2017 22:16,17,22,43.69596,-79.30819,10/17/2017 23:57,17,23
903,BNYB104,"2041-2053 Danforth Ave, Toronto, ON M4C 1J8",10/17/2017 0:00,17,0,43.68545,-79.31365,10/17/2017 6:54,17,6,BNYB104,Green P-35 Erindale Ave(no double parking),10/17/2017 7:50,17,7,43.67732,-79.35747,10/17/2017 8:50,17,8
904,BNYB104,Green P-35 Erindale Ave(no double parking),10/17/2017 7:50,17,7,43.67732,-79.35747,10/17/2017 8:50,17,8,BNYB104,Impark-47 Richmond St E (dedicated spaces only),10/17/2017 9:25,17,9,43.65218,-79.37617,10/17/2017 9:25,17,9
905,BNYB104,Impark-47 Richmond St E (dedicated spaces only),10/17/2017 9:25,17,9,43.65218,-79.37617,10/17/2017 9:25,17,9,BNYB104,"Green P-31 Parliament St(surface lot, not garage)",10/17/2017 9:36,17,9,43.64955,-79.36169,10/17/2017 18:38,17,18
906,BNYB104,"Green P-31 Parliament St(surface lot, not garage)",10/17/2017 9:36,17,9,43.64955,-79.36169,10/17/2017 18:38,17,18,BNYB104,"211 Distillery Lane, Toronto, ON M5A 3C4",10/17/2017 11:55,17,11,43.65022,-79.35747,10/17/2017 12:51,17,12
907,BNYB104,"211 Distillery Lane, Toronto, ON M5A 3C4",10/17/2017 11:55,17,11,43.65022,-79.35747,10/17/2017 12:51,17,12,BNYB104,"355 Symington Ave, Toronto, ON M6P 3X1",10/17/2017 13:31,17,13,43.66676,-79.45132,10/17/2017 15:07,17,15
908,BNYB104,"355 Symington Ave, Toronto, ON M6P 3X1",10/17/2017 13:31,17,13,43.66676,-79.45132,10/17/2017 15:07,17,15,BNYB104,"890 Windermere Ave, York, ON M6S 3N1",10/17/2017 15:32,17,15,43.66468,-79.4856,10/17/2017 17:38,17,17
909,BNYB104,"890 Windermere Ave, York, ON M6S 3N1",10/17/2017 15:32,17,15,43.66468,-79.4856,10/17/2017 17:38,17,17,BNYB104,TargetPark-88 Isabella St (no double parking),10/17/2017 19:14,17,19,43.66878,-79.38136,10/17/2017 21:16,17,21
910,BNYB104,TargetPark-88 Isabella St (no double parking),10/17/2017 19:14,17,19,43.66878,-79.38136,10/17/2017 21:16,17,21,BNYB104,"382-384 Jones Ave, Toronto, ON M4J 3G3",10/17/2017 21:51,17,21,43.67381,-79.33761,10/17/2017 22:47,17,22
911,BNYB104,"382-384 Jones Ave, Toronto, ON M4J 3G3",10/17/2017 21:51,17,21,43.67381,-79.33761,10/17/2017 22:47,17,22,BNYB104,"771-775 Danforth Ave, Toronto, ON M4J",10/17/2017 22:52,17,22,43.67939,-79.34233,10/17/2017 23:57,17,23
912,BNYB105,"224-226 Ferris Rd, East York, ON M4B 1H4",10/17/2017 0:00,17,0,43.70506,-79.29843,10/17/2017 13:41,17,13,BNYB105,"122-124 Glencrest Blvd, East York, ON M4B 1L8",10/17/2017 14:52,17,14,43.70811,-79.29626,10/17/2017 23:57,17,23
913,BNYB106,"162 Markham St, Toronto, ON M6J 2G6",10/17/2017 0:00,17,0,43.65255,-79.40754,10/17/2017 7:40,17,7,BNYB106,Impark-47 Richmond St E (dedicated spaces only),10/17/2017 8:35,17,8,43.65218,-79.37617,10/17/2017 10:49,17,10
914,BNYB106,Impark-47 Richmond St E (dedicated spaces only),10/17/2017 8:35,17,8,43.65218,-79.37617,10/17/2017 10:49,17,10,BNYB106,"7-9 Thorburn Ave, Toronto, ON M6K 1C4",10/17/2017 11:04,17,11,43.63549,-79.42655,10/17/2017 17:28,17,17
915,BNYB106,"7-9 Thorburn Ave, Toronto, ON M6K 1C4",10/17/2017 11:04,17,11,43.63549,-79.42655,10/17/2017 17:28,17,17,BNYB106,"17 Lower Sherbourne St, Toronto, ON M5A 4J4",10/17/2017 18:03,17,18,43.64988,-79.36751,10/17/2017 18:18,17,18
916,BNYB106,"17 Lower Sherbourne St, Toronto, ON M5A 4J4",10/17/2017 18:03,17,18,43.64988,-79.36751,10/17/2017 18:18,17,18,BNYB106,"146 Golfview Ave, Toronto, ON M4E 2K5",10/17/2017 18:54,17,18,43.68058,-79.30833,10/17/2017 23:57,17,23
917,BNYB107,"1830 Queen St E, Toronto, ON M4L 1G9",10/17/2017 0:00,17,0,43.66828,-79.30865,10/17/2017 7:14,17,7,BNYB107,"8 Kent Rd, Toronto, ON M4L 2X6",10/17/2017 7:34,17,7,43.66599,-79.32027,10/17/2017 7:50,17,7
918,BNYB107,"8 Kent Rd, Toronto, ON M4L 2X6",10/17/2017 7:34,17,7,43.66599,-79.32027,10/17/2017 7:50,17,7,BNYB107,Impark-47 Richmond St E (dedicated spaces only),10/17/2017 8:30,17,8,43.65218,-79.37617,10/17/2017 9:53,17,9
919,BNYB107,Impark-47 Richmond St E (dedicated spaces only),10/17/2017 8:30,17,8,43.65218,-79.37617,10/17/2017 9:53,17,9,BNYB107,"25 Brick Ct, Toronto, ON M4L 3X7",10/17/2017 10:34,17,10,43.6629,-79.32895,10/17/2017 12:11,17,12
920,BNYB107,"25 Brick Ct, Toronto, ON M4L 3X7",10/17/2017 10:34,17,10,43.6629,-79.32895,10/17/2017 12:11,17,12,BNYB107,Unit Park-73 The Esplanade(surface lot),10/17/2017 13:11,17,13,43.64703,-79.3733,10/17/2017 17:33,17,17
921,BNYB107,Unit Park-73 The Esplanade(surface lot),10/17/2017 13:11,17,13,43.64703,-79.3733,10/17/2017 17:33,17,17,BNYB107,"169 Lee Ave, Toronto, ON M4E 2P2",10/17/2017 18:28,17,18,43.67307,-79.29904,10/17/2017 22:06,17,22
922,BNYB107,"169 Lee Ave, Toronto, ON M4E 2P2",10/17/2017 18:28,17,18,43.67307,-79.29904,10/17/2017 22:06,17,22,BNYB107,"1763 Queen St E, Toronto, ON M4L 3Y4",10/17/2017 22:16,17,22,43.66785,-79.30977,10/17/2017 23:57,17,23
923,BNYB108,TargetPark-88 Isabella St (no double parking),10/17/2017 0:00,17,0,43.66878,-79.38136,10/17/2017 7:55,17,7,BNYB108,Green P-25 Dundas St E(no double parking),10/17/2017 8:10,17,8,43.656,-79.37993,10/17/2017 12:26,17,12
924,BNYB108,Green P-25 Dundas St E(no double parking),10/17/2017 8:10,17,8,43.656,-79.37993,10/17/2017 12:26,17,12,BNYB108,"58 Beaty Ave, Toronto, ON M6K 3B4",10/17/2017 14:32,17,14,43.63834,-79.44072,10/17/2017 21:01,17,21
925,BNYB108,"58 Beaty Ave, Toronto, ON M6K 3B4",10/17/2017 14:32,17,14,43.63834,-79.44072,10/17/2017 21:01,17,21,BNYB108,"1608 Queen St W, Toronto, ON M6R 1A8",10/17/2017 21:11,17,21,43.63959,-79.44179,10/17/2017 23:57,17,23
926,BNYB112,"2 Thelma Ave, Toronto, ON M4V 1X9",10/17/2017 0:00,17,0,43.68965,-79.41259,10/17/2017 8:50,17,8,BNYB112,UofT-42 Harbord St-car2go park signs (enter alley),10/17/2017 9:10,17,9,43.66373,-79.40103,10/17/2017 19:34,17,19
927,BNYB112,UofT-42 Harbord St-car2go park signs (enter alley),10/17/2017 9:10,17,9,43.66373,-79.40103,10/17/2017 19:34,17,19,BNYB112,"Barbara Barrett Ln, Toronto, ON M5S 2M7",10/17/2017 19:49,17,19,43.66538,-79.40765,10/17/2017 20:10,17,20
928,BNYB112,"Barbara Barrett Ln, Toronto, ON M5S 2M7",10/17/2017 19:49,17,19,43.66538,-79.40765,10/17/2017 20:10,17,20,BNYB112,"104 Follis Ave, Toronto, ON M6G 1S9",10/17/2017 20:40,17,20,43.66855,-79.41808,10/17/2017 21:26,17,21
929,BNYB112,"104 Follis Ave, Toronto, ON M6G 1S9",10/17/2017 20:40,17,20,43.66855,-79.41808,10/17/2017 21:26,17,21,BNYB112,"70 Lynn Williams St, Toronto, ON M6K 3N6",10/17/2017 21:56,17,21,43.63924,-79.41618,10/17/2017 23:57,17,23
930,BNYB113,"107 Lyall Ave, Toronto, ON M4E 1W6",10/17/2017 0:00,17,0,43.68195,-79.29145,10/17/2017 9:10,17,9,BNYB113,Green P-37 Yorkville Ave (garage),10/17/2017 9:58,17,9,43.67129,-79.38933,10/17/2017 17:13,17,17
931,BNYB113,Green P-37 Yorkville Ave (garage),10/17/2017 9:58,17,9,43.67129,-79.38933,10/17/2017 17:13,17,17,BNYB113,"6 Natalie Pl, Toronto, ON M4M 3P7",10/17/2017 17:58,17,17,43.66213,-79.34223,10/17/2017 18:13,17,18
932,BNYB113,"6 Natalie Pl, Toronto, ON M4M 3P7",10/17/2017 17:58,17,17,43.66213,-79.34223,10/17/2017 18:13,17,18,BNYB113,"679 Carlaw Ave, Toronto, ON M4K 3K7",10/17/2017 18:49,17,18,43.6766,-79.34653,10/17/2017 23:22,17,23
933,BNYB113,"679 Carlaw Ave, Toronto, ON M4K 3K7",10/17/2017 18:49,17,18,43.6766,-79.34653,10/17/2017 23:22,17,23,BNYB113,Green P-35 Erindale Ave(no double parking),10/17/2017 23:32,17,23,43.67732,-79.35747,10/17/2017 23:57,17,23
